Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
73	4926.71	685.92804	5540.546	3763.6355	5201.204	1342.952	5913.416	1205.5695	1000.0	1000.0	291999	435.63943	435.63953	-434.86987	18.948378	1.1196891	0.05514143	1.3041987	0.93796885	1.5039394	0.038653504	1.6134079	1.4220202	6066.4046885967255
74	5374.169	226.747	5729.641	5149.5483	5555.576	105.06695	5779.832	5419.773	1000.0	1000.0	295999	441.08032	441.08032	-440.368	18.980808	1.1682348	0.07223683	1.7158792	0.9271251	1.4715022	0.087195694	1.8621092	1.364158	6148.352601289749
75	5464.3647	116.34635	5609.148	5284.4146	6004.376	55.122406	6081.4326	5919.1226	1000.0	1000.0	299999	447.40253	447.40244	-446.68115	18.702923	1.1810261	0.059493545	1.429052	1.0049444	1.4776491	0.04499234	1.5837117	1.3681444	6228.79417848587
76	5483.2896	79.77046	5553.9497	5360.236	5732.632	382.0998	5966.6084	4608.626	1000.0	1000.0	303999	453.12253	453.12234	-452.34213	19.421438	1.2030134	0.05798022	1.4277668	1.011079	1.5180261	0.03808995	1.6125103	1.4440964	6313.598216295242
77	5789.0444	127.077995	5948.499	5593.398	6342.032	155.19415	6578.74	6048.506	1000.0	1000.0	307999	459.5698	459.56973	-458.79556	19.67425	1.2306694	0.061657064	1.4505613	0.9902069	1.5354484	0.04801396	1.6842521	1.4228321	6398.255107164383
78	5876.6904	80.55494	6008.8384	5793.071	6534.1475	145.72505	6761.593	6273.3735	1000.0	1000.0	311999	466.4678	466.468	-465.76666	19.572779	1.2653149	0.061088122	1.5149363	1.0586113	1.4822911	0.044304192	1.6125175	1.4087931	6482.952818870544
79	5994.7637	109.93882	6133.878	5830.139	6438.5356	100.89069	6595.0933	6296.6294	1000.0	1000.0	315999	473.53412	473.5341	-472.7937	21.254051	1.2810909	0.061295692	1.5166609	1.0898482	1.5378779	0.03705343	1.6226922	1.4536245	6565.783755302429
80	6209.9355	252.33	6609.5977	5956.347	6919.4053	140.27122	7134.5073	6647.5444	1000.0	1000.0	319999	481.38736	481.38736	-480.699	21.226309	1.318304	0.05961827	1.5230346	1.0810463	1.5252385	0.038231105	1.6268085	1.4490709	6649.280684709549
81	6452.4336	57.48853	6533.566	6378.434	6082.811	1032.0095	6662.039	3047.7666	1000.0	1000.0	323999	490.00177	490.00168	-489.32922	21.51945	1.3648798	0.062303856	1.5568174	1.1291056	1.5352461	0.045280334	1.6413656	1.4229585	6732.029131889343
82	6615.1597	108.52913	6709.157	6435.412	7446.7085	165.16876	7709.626	7214.4644	1000.0	1000.0	327999	500.08777	500.08765	-499.47943	23.07309	1.4190115	0.064945	1.6522493	1.2010579	1.5504502	0.04633086	1.6749923	1.4540238	6814.776571750641
83	6788.0366	164.26004	7033.535	6581.4243	7564.7603	98.836975	7728.377	7435.6924	1000.0	1000.0	331999	511.92276	511.9228	-511.37317	24.052145	1.4947006	0.06515994	1.7454723	1.251667	1.5161654	0.049416013	1.6415557	1.4096442	6897.63462972641
84	6875.702	236.75616	7112.4946	6502.7036	7718.237	95.67683	7903.867	7606.3135	1000.0	1000.0	335999	524.1541	524.1541	-523.6052	24.386839	1.5329504	0.06494918	1.8121009	1.2868037	1.526272	0.04229506	1.637635	1.4351088	6980.959107160568
85	7103.027	191.30382	7341.736	6896.1787	7715.315	208.64572	8010.327	7245.342	1000.0	1000.0	339999	536.0018	536.00146	-535.4844	24.40973	1.5607386	0.06546922	1.8416871	1.3523568	1.5067031	0.030248735	1.5818636	1.4215056	7064.052598953247
86	7202.9146	156.60976	7366.885	6944.781	7447.715	63.66169	7547.606	7349.7954	1000.0	1000.0	343999	546.74115	546.7412	-546.1912	25.459507	1.5879643	0.06852322	1.8164577	1.3558588	1.5332981	0.05864281	1.6848383	1.4135154	7142.427151918411
87	7334.1255	149.46355	7514.7104	7185.9575	7383.3047	63.644756	7528.0864	7306.473	1000.0	1000.0	347999	557.97723	557.97723	-557.46735	25.986584	1.6455842	0.06595208	1.8911043	1.3115716	1.5304095	0.038396135	1.6192546	1.4527544	7224.740964412689
88	7540.081	196.93042	7757.336	7222.7114	7736.117	60.70921	7870.0537	7652.506	1000.0	1000.0	351999	570.1221	570.1218	-569.72375	26.451414	1.6956217	0.0664268	2.0046723	1.4704366	1.4603226	0.06496044	1.6110975	1.3337	7310.560937166214
89	7616.0605	55.405704	7684.3896	7535.156	6808.596	1559.3519	7450.585	2139.0112	1000.0	1000.0	355999	581.48035	581.4802	-581.0384	26.94987	1.7004681	0.0656345	1.925958	1.4579594	1.5075356	0.04184449	1.5931143	1.4080964	7395.825581789017
90	7669.3774	243.08	7937.112	7274.28	8229.951	72.25022	8361.926	8115.711	1000.0	1000.0	359999	591.65686	591.65674	-591.13214	27.790428	1.7108481	0.06651667	1.9436758	1.4712827	1.5345627	0.042084083	1.6327637	1.4339576	7481.2105758190155
91	8028.795	71.29489	8131.6465	7931.339	7415.599	147.80489	7568.577	7097.0293	1000.0	1000.0	363999	601.5298	601.5299	-601.1106	28.52819	1.7488027	0.06550323	1.9632725	1.4915713	1.5032996	0.055829614	1.6583977	1.3842754	7563.847056865692
92	8134.8496	165.98178	8419.287	8002.3047	8606.952	95.95894	8783.262	8448.607	1000.0	1000.0	367999	612.08154	612.08124	-611.6422	28.606686	1.7804277	0.06591415	2.019571	1.5270104	1.5176944	0.04746583	1.6095701	1.3989029	7646.826114416122
93	8204.66	34.202663	8245.463	8168.847	8070.9795	203.24277	8326.44	7656.515	1000.0	1000.0	371999	623.1545	623.15454	-622.75824	29.770214	1.8091346	0.06842792	2.024577	1.4973407	1.5248554	0.04334294	1.6474913	1.4387608	7729.105720043182
94	8151.3403	146.23283	8381.199	7974.5396	7000.9907	2185.032	8234.214	1299.412	1000.0	1000.0	375999	633.50305	633.50256	-633.0843	29.975243	1.8389522	0.06604398	2.0626829	1.6078333	1.5144039	0.037563022	1.6084075	1.4441929	7811.819126844406
95	8286.714	208.98886	8544.714	7978.7197	8637.421	71.55227	8774.114	8544.311	1000.0	1000.0	379999	643.13086	643.13086	-642.7415	29.970518	1.8514955	0.06763874	2.084566	1.6264975	1.4977559	0.045843598	1.6203356	1.4224163	7895.108402967453
